"","Cost","Accuracy","Kernels"
"1",1,0.895918367346939,"vanilladot"
"2",5,0.897278911564626,"vanilladot"
"3",10,0.897959183673469,"vanilladot"
"4",15,0.897278911564626,"vanilladot"
"5",20,0.897278911564626,"vanilladot"
"6",25,0.897278911564626,"vanilladot"
"7",30,0.896598639455782,"vanilladot"
"8",35,0.896598639455782,"vanilladot"
"9",40,0.896598639455782,"vanilladot"
"10",1,0.889115646258503,"rbfdot"
"11",5,0.958503401360544,"rbfdot"
"12",10,0.982312925170068,"rbfdot"
"13",15,0.989115646258503,"rbfdot"
"14",20,0.991836734693878,"rbfdot"
"15",25,0.995918367346939,"rbfdot"
"16",30,0.997278911564626,"rbfdot"
"17",35,0.998639455782313,"rbfdot"
"18",40,1,"rbfdot"
"19",1,0.895918367346939,"polydot"
"20",5,0.897278911564626,"polydot"
"21",10,0.897959183673469,"polydot"
"22",15,0.897278911564626,"polydot"
"23",20,0.897278911564626,"polydot"
"24",25,0.896598639455782,"polydot"
"25",30,0.896598639455782,"polydot"
"26",35,0.897959183673469,"polydot"
"27",40,0.896598639455782,"polydot"
"28",1,0.895918367346939,"tanhdot"
"29",5,0.897278911564626,"tanhdot"
"30",10,0.897959183673469,"tanhdot"
"31",15,0.897278911564626,"tanhdot"
"32",20,0.897278911564626,"tanhdot"
"33",25,0.896598639455782,"tanhdot"
"34",30,0.896598639455782,"tanhdot"
"35",35,0.897959183673469,"tanhdot"
"36",40,0.896598639455782,"tanhdot"
